0; 25.892479932403887
1; 30.97349804666878
2; 35.66038731465358
3; 40.57733917357116
4; 45.72198162036548
5; 52.003801679074925
6; 59.242832250910816
7; 66.8972436371317
8; 74.29672243626959
9; 80.75380067567568
10; 86.21272103457376
11; 89.94614003590664
12; 93.2253469107793
13; 95.18148676493898
14; 96.42630912162163
15; 97.3293925159656
16; 98.14218609806302
17; 98.5798754091437
18; 99.09234828496042
19; 99.18141008714022
20; 99.4770206022187
21; 99.6092306067487
22; 99.67804929540297
23; 99.74658148988966
24; 99.82585751978891
25; 99.79399957743503
26; 99.90491785959537
27; 99.9155672823219
28; 99.93663533636075
29; 99.95249406175772
30; 99.96303923121602
31; 99.92076488299614
32; 99.98415632426723
33; 99.97890072792488
34; 99.96304508499631
35; 99.93139479655919
36; 99.95777472817481
37; 99.97359805681698
38; 99.98943531773281
39; 99.96300602473312
40; 99.95249907637093
41; 99.96833773087072
42; 99.93667880322938
43; 99.95778141326718
44; 99.9524865378524
45; 99.94190652231318
46; 99.94187889675578
47; 99.9683343888537
48; 99.96304898648648
49; 99.96306263521714
50; 99.94716263341435
51; 99.93663533636075
52; 99.9577724993402
53; 99.92608236536431
54; 99.94191265775994
55; 99.97361895214478
56; 99.96832101372756
57; 99.95776358164828
58; 99.97358689910196
59; 99.92084850403673
60; 99.96831097496568
61; 99.95776581142435
62; 99.96831934104229
63; 99.86790658353587
